atlas,graph_feature_type,feature,feature_engineering,model,train_accuracy,test_accuracy
multi,node_based,degree,original,LR,0.9891304347826086,0.5845410628019324
multi,node_based,degree,original,DT,1.0,0.463768115942029
multi,node_based,degree,original,RF,1.0,0.6086956521739131
multi,node_based,degree,original,XGB,1.0,0.5507246376811594
multi,node_based,degree,original,LGBM,1.0,0.5362318840579711
multi,node_based,degree,original,SVM,0.7644927536231884,0.6038647342995169
multi,node_based,degree,original,MLP,1.0,0.5748792270531401
multi,edge_based,average_degree,original,LR,0.711352657004831,0.4975845410628019
multi,edge_based,average_degree,original,DT,1.0,0.5507246376811594
multi,edge_based,average_degree,original,RF,1.0,0.5603864734299517
multi,edge_based,average_degree,original,XGB,0.9927536231884058,0.46859903381642515
multi,edge_based,average_degree,original,LGBM,0.9939613526570048,0.5265700483091788
multi,edge_based,average_degree,original,SVM,0.6545893719806763,0.5507246376811594
multi,edge_based,average_degree,original,MLP,0.9734299516908212,0.47342995169082125
multi,graph_level,average_degree,original,LR,0.6714975845410628,0.4927536231884058
multi,graph_level,average_degree,original,DT,1.0,0.5314009661835749
multi,graph_level,average_degree,original,RF,1.0,0.5942028985507246
multi,graph_level,average_degree,original,XGB,1.0,0.5072463768115942
multi,graph_level,average_degree,original,LGBM,1.0,0.5265700483091788
multi,graph_level,average_degree,original,SVM,0.6219806763285024,0.5362318840579711
multi,graph_level,average_degree,original,MLP,0.8888888888888888,0.463768115942029
multi,node_based,degree,mi_10,LR,0.6304347826086957,0.5700483091787439
multi,node_based,degree,mi_10,DT,1.0,0.5410628019323671
multi,node_based,degree,mi_10,RF,1.0,0.5507246376811594
multi,node_based,degree,mi_10,XGB,1.0,0.5410628019323671
multi,node_based,degree,mi_10,LGBM,1.0,0.5748792270531401
multi,node_based,degree,mi_10,SVM,0.677536231884058,0.5797101449275363
multi,node_based,degree,mi_10,MLP,0.9867149758454107,0.5362318840579711
multi,edge_based,average_degree,mi_10,LR,0.5676328502415459,0.5120772946859904
multi,edge_based,average_degree,mi_10,DT,0.8526570048309179,0.5217391304347826
multi,edge_based,average_degree,mi_10,RF,0.8526570048309179,0.48792270531400966
multi,edge_based,average_degree,mi_10,XGB,0.7898550724637681,0.4927536231884058
multi,edge_based,average_degree,mi_10,LGBM,0.7415458937198067,0.5217391304347826
multi,edge_based,average_degree,mi_10,SVM,0.6243961352657005,0.45410628019323673
multi,edge_based,average_degree,mi_10,MLP,0.6823671497584541,0.463768115942029
multi,graph_level,average_degree,mi_10,LR,0.5289855072463768,0.4782608695652174
multi,graph_level,average_degree,mi_10,DT,1.0,0.46859903381642515
multi,graph_level,average_degree,mi_10,RF,1.0,0.5603864734299517
multi,graph_level,average_degree,mi_10,XGB,0.998792270531401,0.5024154589371981
multi,graph_level,average_degree,mi_10,LGBM,0.9963768115942029,0.5458937198067633
